dept_name,emp_no,first_name,last_name
Development,10001,Georgi,Facello
Production,10004,Chirstian,Koblick
Quality Management,10009,Sumant,Peac
Production,10018,Kazuhide,Peha
Development,10018,Kazuhide,Peha
Production,10035,Alain,Chappelet
Sales,10053,Sanjiv,Zschoche
Marketing,10058,Berhard,McFarlin
Development,10066,Kwee,Schusler
Quality Management,10067,Claudi,Stavenow
Development,10070,Reuven,Garigliano
Research,10070,Reuven,Garigliano
Development,10072,Hironoby,Sidou
Development,10076,Erez,Ritzmann
Sales,10088,Jungsoon,Syrzycki
Customer Service,10088,Jungsoon,Syrzycki
Human Resources,10100,Hironobu,Haraldson
Development,10103,Akemi,Birch
Customer Service,10126,Kayoko,Valtorta
Development,10129,Armond,Peir
Production,10130,Nishit,Casperson
Production,10134,Diederik,Siprelle
Development,10134,Diederik,Siprelle
Quality Management,10138,Perry,Shimshoni
Development,10150,Zhenbing,Perng
Development,10153,Heekeun,Majewski
Development,10157,Nigel,Aloisi
Development,10198,Pranav,Furedi
Sales,10215,Xiaobin,Duclos
Production,10224,Leon,Trogemann
Human Resources,10233,Lein,Vendrig
Development,10258,Basil,Ishibashi
Finance,10272,Yishai,Cannane
Production,10282,Hercules,Benzmuller
Development,10283,Kauko,Birjandi
Research,10326,Masali,Czap
Marketing,10340,Djelloul,Laventhal
Research,10347,Pradeep,Kaminger
Sales,10355,Satyanarayana,Cochrane
Research,10356,Vasilis,Standera
Production,10364,Nakhoon,Dengi
Production,10372,Anneli,Frijda
Customer Service,10387,Parto,Wrigley
Development,10396,Sibyl,Rahier
Quality Management,10402,Volkmar,Ebeling
Development,10404,Prodip,Rosti
Development,10426,Arunas,Luce
Development,10429,Martien,Improta
Customer Service,10432,Hisao,Tiemann
Production,10451,Bodh,Ranta
Customer Service,10453,Tsvetan,Matzel
Sales,10463,Ung,Zaiane
Quality Management,10486,Amstein,Kossowski
Production,10494,Yakkov,Servieres
Sales,10504,Xiong,Varker
Human Resources,10512,Udi,Gihr
Human Resources,10522,Marke,Cesareni
Marketing,10548,Ramalingam,Gunderson
Sales,10548,Ramalingam,Gunderson
Production,10564,Jianhao,Thisen
Development,10623,Aleksander,Danlos
Research,10623,Aleksander,Danlos
Development,10628,Krisda,Krogh
Development,10631,Inderjeet,Chaudhuri
Development,10642,Hirochika,Narlikar
Development,10653,Otmar,Feinberg
Human Resources,10671,Parviz,Rebaine
Development,10676,Valeri,Danley
Customer Service,10693,Berhard,Daescu
Development,10702,Bader,Szemeredi
Development,10718,Adib,Rullman
Development,10726,Zita,Minakawa
Production,10734,Sachar,Erdi
Production,10745,Poorav,Ranze
Production,10749,King,Brendel
Sales,10767,Monique,Doering
Production,10768,Ishfaq,Candan
Marketing,10778,Selwyn,Merey
Development,10791,Tadahiko,Sgarro
Sales,10795,Supot,Naudin
Development,10808,Chenxi,Leijenhorst
Production,10835,Tomoyuki,Kermarrec
Sales,10836,Jianhua,Leivant
Customer Service,10836,Jianhua,Leivant
Development,10844,Dipayan,Koprowski
Research,10847,Theirry,Danley
Production,10848,Fen,Bratsberg
Sales,10878,Lakshmi,Deville
Development,10879,Muzhong,Chleq
Production,10883,Shimshon,Champarnaud
Development,10909,Georgi,Atchley
Production,10921,Mara,Bahi
Sales,10924,Hironoby,Atchley
Marketing,10927,Gal,Scallan
Human Resources,10936,Mountaz,Schicker
Development,10943,Berna,Skafidas
Sales,10965,Eckart,Braunschweig
Development,10969,Premal,Noriega
Development,10974,Muneo,Papsdorf
Development,10986,Masako,Schiper
Development,10988,Chinya,Deyuan
Finance,10989,Sumali,Candan
Development,10990,Shin,Foote
Sales,11009,Alper,Axelband
Marketing,11012,Taegyun,Speckmann
Customer Service,11012,Taegyun,Speckmann
Development,11019,Leon,Huttel
Research,11021,Srinidhi,Henders
Production,11027,Remzi,Cappello
Marketing,11031,Ottavia,Walstra
Production,11037,Lansing,Maliniak
Research,11038,Jinya,Beidas
Development,11042,Gou,Breugel
Sales,11048,Jaques,Demke
Marketing,11050,Elvis,Katiyar
Production,11051,Przemyslawa,Erol
Quality Management,11070,Adib,Raney
Finance,11081,Barry,Boyle
Production,11085,Hailing,Thummel
Research,11100,Berna,Cochrane
Development,11106,Aris,Iwayama
Customer Service,11112,Boaz,Mukaidono
Marketing,11113,Shahab,Peng
Development,11121,Vugranam,Kakkad
Quality Management,11133,Nalini,Azulay
Quality Management,11134,Sachar,Rajcani
Development,11137,Hugh,Luca
Customer Service,11139,Bogdan,Homond
Sales,11146,Ishfaq,Masand
Finance,11148,Zhanqiu,Botman
Human Resources,11148,Zhanqiu,Botman
Development,11162,Kauko,Narlikar
Development,11180,Mitsuyuki,Bojadziev
Sales,11197,Tadahiro,Fordan
Production,11204,Diederik,Covnot
Development,11207,Saeed,Gips
Production,11208,Saniya,Valtorta
Production,11211,Yurij,Rissland
Production,11217,Kellie,Mawatari
Customer Service,11232,Hidefumi,Crelier
Development,11240,Kiam,Condotta
Development,11249,Randi,Cyre
Marketing,11251,Bezalel,Chinal
Production,11268,Aimee,Petersohn
Development,11275,Hitomi,Eppinger
Development,11290,Visit,Dredge
Finance,11295,Abdelkader,Lanzelotte
Development,11319,Pranas,Marrakchi
Marketing,11320,Atilio,McAlpine
Quality Management,11322,Nathalie,Pocchiola
Production,11324,Kauko,Billingsley
Sales,11338,Kwangsub,Hanratty
Production,11339,Flemming,Massonet
Development,11347,Anneli,Jonsson
Production,11365,Toshimi,Shinomoto
Research,11376,Valery,Suomi
Development,11380,Kenroku,Pelc
Production,11385,Shiv,Ullian
Quality Management,11386,Alselm,Assaf
Production,11393,Junsik,Junot
Finance,11398,Oscar,Peir
Development,11404,Bedrich,Borovoy
Production,11415,Sanjiv,Anido
Production,11421,Josyula,Msuda
Sales,11441,Marlo,Aingworth
Production,11449,Kotesh,Asser
Human Resources,11459,Duke,Suomi
Production,11469,Guttorm,Giaccio
Sales,11506,Rance,Picel
Development,11509,Aleksander,Feldhoffer
